title,description,source,category
World’s ‘most complicated’ wristwatch unveiled - CNN,"The Swiss watchmaker’s new timepiece tracks the sun’s position, chimes with the sound of miniature gongs and even calculates when the zodiac’s constellations will be visible from Earth.",CNN,technology
Introducing: The Tudor Black Bay Pro GMT Polar White dial - Monochrome Watches,The classic exploration GMT watch of Tudor gets the Polar treatment. Meet the new Tudor Black Bay Pro White Opaline Dial.,Monochrome-watches.com,technology
"Final Fantasy 9 Anniversary Celebration Begins, Renewing Remake Rumors - GameSpot",It's the 25th anniversary of Final Fantasy IX.,GameSpot,technology
What’s that giant orange crate in front of the Tribune Tower? - WGN-TV,"Chicagoans can visit a giant orange crate in Streeterville to take a selfie and scan a QR code for in-game perks, as Activision promotes the return of Verdansk, a popular Call of Duty: Warzone map, on Thursday, April 3.",WGN TV Chicago,technology
This Is How TAG Heuer Revamped Its Iconic F1 Watch - WIRED,"In a global exclusive, WIRED went inside TAG Heuer's Swiss factory to see exactly how the brand has brought back its classic entry-level race watch, but this time bigger than ever—and solar powered.",Wired,technology
One Of The Year's Biggest Games Is An Indie Drug-Dealing Sim Made By A Solo Dev - Kotaku,"Schedule I is currently more popular on Steam than games like Marvel Rivals, PUBG, GTA V, and Call of Duty",Kotaku,technology
Amazon’s AI assistant Alexa+ launches with some missing features - The Washington Post,Internal documents obtained by The Post show that many of the new Alexa+ features won’t be available immediately.,The Washington Post,technology
"GTA 6's Second Trailer Will Likely Arrive Closer To Launch, Says Take-Two CEO - Kotaku",Grand Theft Auto 6's next trailer might still be months away,Kotaku,technology
Copilot+ PCs with Intel or AMD chips will finally get these previously Snapdragon-exclusive features - Windows Central,"Staggered feature releases make me ask ""what even is a Copilot+ PC?""",Windows Central,technology
Apple Intelligence comes to Apple Vision Pro today with visionOS 2.4 - Apple,"visionOS 2.4 is available today, bringing the first set of powerful Apple Intelligence features to Apple Vision Pro.",Apple Newsroom,technology
Google’s new experimental Gemini 2.5 model rolls out to free users - Ars Technica,"Google’s improved AI model is now available for free, but usage is limited.",Ars Technica,technology
The Biggest Game Releases Of April 2025 - GameSpot,"From South of Midnight to a visually impressive RPG, here's a closer look at the biggest games releasing this month.",GameSpot,technology
"The Samsung Galaxy Tab S10 FE and S10 FE+ launch date leaks, the tablets themselves leak too - GSMArena.com news - GSMArena.com","This is one of the most leak-prone launches from Samsung. The two Tab S10 FE slates were spotted at an online retailer with prices, specs and everything.",GSMArena.com,technology
I threw hands with Doom: The Dark Ages and its rock 'em sock 'em robot - Rock Paper Shotgun,"We played three hours of Doom: The Dark Ages, including a level of dragonback dog-fighting and time with the big punchy mech. Read our preview.",Rock Paper Shotgun,technology
Travis Kelce adorably meets Jason and Kylie’s newborn daughter Finnley on ‘New Heights’ podcast - Page Six,"Jason and Kylie introduced their fourth baby girl to their Instagram followers Tuesday evening, writing, “Whoop, there she is! 3/30/25.”",Page Six,politics
DR Congo coup attempt: Three Americans have death sentence overturned - BBC,The Americans are among 37 people sentenced to death last September by  a military court.,BBC News,politics
"French judges in Marine Le Pen case face death threats, police launch probe - France 24",Judges who convicted Marine Le Pen on embezzlement charges and banned the far-right politician from public office for five years have faced death threats since the sentencing earlier this week. French police have launched a new investigation into the threats …,FRANCE 24 English,politics
Boeing CEO faces Senate hearing on plane maker's recovery - CNBC,Boeing's CEO Kelly Ortberg faces senators' questions about its recovery from a series of manufacturing and safety crises.,CNBC,politics
"Latest Alzheimer’s lab tests focus on memory loss, not brain plaques : Shots - Health News - NPR",New tests of blood and spinal fluid can identify people experiencing memory loss from Alzheimer's disease.,NPR,politics
"Israel’s military operation in Gaza Strip expanding to seize 'large areas,' defense minister says - AP News",Israel’s defense minister says the country's military operation in the Gaza Strip is expanding to seize “large areas” of the Palestinian territory. Defense Minister Israel Katz said Wednesday that the operation was “expanding to crush and clean the area of te…,Associated Press,politics
Today is Trump's 'Liberation Day.' What does that mean for tariffs? - NPR,"President Trump has been promising new ""reciprocal tariffs"" to punish other countries for their tariffs and trade barriers. Markets are nervous that a trade war could hike prices and hurt the economy.",NPR,politics
Supreme Court to decide if states can strip Planned Parenthood of Medicaid funds - NPR,"At issue is whether a state, in this case, South Carolina, can remove Planned Parenthood clinics from its state Medicaid program, even though Medicaid funds cannot generally be used to fund abortions.",NPR,politics
"Nintendo set to unveil Switch 2, follow-up to megahit game console - Al Jazeera","Japanese gaming giant expected to reveal release date, price and other key details in live presentation on Wednesday.",Al Jazeera English,politics
"Where days of flooding rains, tornadoes and heavy snow will hit hardest - The Washington Post","Hazardous weather will strike millions of people across more than a dozen states, with the potential for tornadoes, flash flooding and heavy snow through the week.",The Washington Post,politics
Democrats’ win in Wisconsin court race also is a big loss for Elon Musk - AP News,The Democrats' victory in the Wisconsin Supreme Court race is a big loss for Elon Musk. The billionaire supporter of President Donald Trump and his affiliated groups spent more than $21 million supporting the conservative in the race in hopes of breaking libe…,Associated Press,politics
"Steph Curry scores 52, hits 12 3-pointers, as Warriors rally past Grizzlies - The Mercury News",Golden State’s Steph Curry makes 12 3-pointers as Warriors guard passes Jerry West on NBA’s all-time scoring list.,The Mercury News,politics
Here’s how the new NFL rules on kickoffs and overtime will work - AP News,The one-year trial version of the dynamic kickoff in the NFL led to an uptick in the return rate that wasn’t quite as much as the league had hoped. Now the new form of the kickoff that is more like a scrimmage play is permanent with a change for 2025 that the…,Associated Press,politics
"FDA lays off bird flu leadership, among steep cuts to senior veterinarians - CBS News","More than 130 staff were cut from the FDA's Center for Veterinary Medicine, officials said.",CBS News,politics
Wisconsin voters approve constitutional voter ID amendment - WISN,"Wisconsin voters passed a constitutional amendment to enshrine voter ID laws with 60.3% support, securing its place in the state constitution.",WISN Milwaukee,politics
David Fincher to Direct Brad Pitt in ‘Once Upon a Time in Hollywood’ Netflix Follow-Up From a Tarantino Script - Variety,"David Fincher is circling a 'Once Upon a Time in Hollywood' sequel, written by Quentin Tarantino. Brad Pitt will return for the follow-up.",Variety,politics
Stephanie Vaquer relinquishes North American title; ladder match to determine new champion - Cageside Seats,This is certainly one way to do this.,Cageside Seats,politics
Cory Booker's epic Senate speech puts Democrats back in the spotlight - Axios,Democratic voters grown impatient with leaders who won't counter Trump more aggressively.,Axios,politics
‘JFK’ director Oliver Stone calls for a reinvestigation of Kennedy’s 1963 assassination - AP News,Oscar-winning director Oliver Stone has called on Congress to reinvestigate the 1963 assassination of President John F. Kennedy following last month's release of thousands of pages of government documents surrounding the killing. Stone's 1991 film “JFK” portr…,Associated Press,politics
"Fasting every other day outperforms calorie cutting, clinical trial indicates - upi.com","UPI delivers the latest headlines from around the world: Top News, Entertainment, Health, Business, Science and Sports News - United Press International",UPI.com,politics
"April’s Night Sky to Dazzle With Two Meteor Showers, Rare Planet Alignments, and a Celestial Marathon - The Daily Galaxy","April’s night sky is set to dazzle with twin meteor showers, rare planet-moon pairings, and a cosmic challenge that will keep stargazers up all night.",The Daily Galaxy --Great Discoveries Channel,politics
Starliner’s flight to the space station was far wilder than most of us thought - Ars Technica,"“Hey, this is a very precarious situation we’re in.”…",Ars Technica,politics
Cryptocurrency billionaire watches SpaceX rocket launch on the way to his own SpaceX rocket launch - Space.com,Now that's a two-for-one deal.,Space.com,politics
New AirPods Max just got three more features with iOS 18.4 - 9to5Mac,"iOS 18.4 introduced three additional features for Apple’s recent USB-C version of AirPods Max, here’s what’s new.",9to5Mac,politics
Galaxy Watch 8 Classic might replace Watch Ultra this year - Sammy Fans,"Samsung’s H2 Unpacked may also bring new smartwatches to the market. Samsung is reportedly working on the Galaxy Watch 8 and Watch 8 Classic (not the Watch Ultra 2), which were just spotted on the SafetyKorea database. Battery units of the Galaxy Watch 8 and …",Sammyfans.com,politics
Confirmed measles case in Colorado raises concern - 9News,A confirmed measles case in Pueblo. Learn exposure risks and symptoms to watch.,9News.com KUSA,politics
"The Samsung Galaxy Tab S10 FE and S10 FE+ launch date leaks, the tablets themselves leak too - GSMArena.com news - GSMArena.com","This is one of the most leak-prone launches from Samsung. The two Tab S10 FE slates were spotted at an online retailer with prices, specs and everything.",GSMArena.com,politics
Travis Kelce adorably meets Jason and Kylie’s newborn daughter Finnley on ‘New Heights’ podcast - Page Six,"Jason and Kylie introduced their fourth baby girl to their Instagram followers Tuesday evening, writing, “Whoop, there she is! 3/30/25.”",Page Six,music
"Microsoft is a clear winner from ChatGPT's super-viral Ghibli images, analysts say - Business Insider",Microsoft is a major investor in the artificial intelligence firm and its primary cloud provider.,Business Insider,music
Round Up: The First Impressions Of The Minecraft Movie Are In - Nintendo Life,"""An AWFUL.. lot of fun!""",Nintendo Life,music
Ariana DeBose Says She Didn’t Do the Thing - Vulture,"Ariana DeBose has suggested that she wasn’t being shady and knowingly quoting criticism of her former co-star Rachel Zegler. ‘I have no intention of inserting myself into a news cycle,’ DeBose wrote.",Vulture,music
Title Change On WWE NXT - WrestleTalk,The main event of tonight's April 1 episode of WWE NXT at the Performance Center played host to the brand's latest title change.,Wrestletalk.com,music
David Fincher to Direct Brad Pitt in ‘Once Upon a Time in Hollywood’ Netflix Follow-Up From a Tarantino Script - Variety,"David Fincher is circling a 'Once Upon a Time in Hollywood' sequel, written by Quentin Tarantino. Brad Pitt will return for the follow-up.",Variety,music
Stephanie Vaquer relinquishes North American title; ladder match to determine new champion - Cageside Seats,This is certainly one way to do this.,Cageside Seats,music
'Malcolm in the Middle' Erik Per Sullivan Spotted for First Time in 18 Years - TMZ,"Erik Per Sullivan used to be on TV all the time as a star on the hit 2000s sitcom ""Malcolm In The Middle"" ... but he vanished from Hollywood for nearly two decades, and now he's finally been spotted in his new life.",TMZ,music
What Exactly Is Happening With Sydney Sweeney and Glen Powell? I’ll Start With the Bad News. - Slate,Can America survive a single Sydney Sweeney?,Slate Magazine,music
Meghan Markle Just Posted a Video Dancing in Her Kitchen—and Shared the Official Jam Launch Date - PureWow,"Hear ye, hear ye: Meghan Markle just made her As Ever jam launch date official with an IG post of her dancing in the kitchen.",PureWow,music
Gene and Betsy Hackman’s Estate Wins Partial Victory in Footage and Death Records Court Ruling - The Hollywood Reporter,A mixed ruling handed down on Monday afternoon stipulates that images of the very private couple’s partially decomposing bodies will not be released.,Hollywood Reporter,music
‘The White Lotus’ Season 3 Finale Boasts Runtime Of 90 Minutes - Deadline,'The White Lotus' Season 3 finale will be the longest episode in the series at nearly 90 minutes to conclude the Thailand storyline.,Deadline,music
"‘NYPD Blue’ actress Kim Delaney will not face assault charges, DA says - KTLA","Kim Delaney will not face assault charges related to her arrest in connection with felony assault, the Los Angeles County District Attorney’s Office announced Tuesday. Delaney, who starred in TV series “NYPD Blue,” “Army Wives” and “The O.C.,” was arrested Sa…",KTLA Los Angeles,music
‘Adolescence’ Dethrones ‘Stranger Things 3’ and ‘Bridgerton 2’ on Netflix’s All Time Most Popular TV List With 96.7 Million Views - Variety,'Adolescence' joined Netflix's list of its most popular English-language TV series of all time at No. 9 with 96.7 million views thus far.,Variety,music
The Films and Shows You Should Be Streaming in April 2025 - Gizmodo,"We've picked out the best horror, sci-fi, and genre titles coming to Netflix, Hulu, Prime Video, Disney+, and beyond, including Andor, How to Train Your Dragon, and Terminator",Gizmodo.com,music
Daniel LaRusso returns to the East Coast in Karate Kid: Legends trailer - AV Club,Daniel LaRusso returns to the East Coast in Karate Kid: Legends trailer,The A.V. Club,music
Reign Disick Reacted To That Wild Conspiracy Theory That Justin Bieber Is His Real Dad - buzzfeed.com,"Though it’s hard to believe today, there was a time when Kourtney and Justin were rumored to be “hooking up.”",Buzzfeed,music
Prince Harry charity insiders reveal cash worries at Sentebale - BBC,"Financial worries and fundraising rows inflamed boardroom battle that engulfed Sentebale, insiders claim.",BBC News,music
Kieran Culkin and Bob Odenkirk seal the deal in star-studded Broadway revival of Glengarry Glen Ross - Entertainment Weekly,Kieran Culkin and Bob Odenkirk seal the deal in the star-studded Broadway revival of 'Glengarry Glen Ross.' Read Entertainment Weekly's review.,Entertainment Weekly,music
Texas lawmaker: Movies made here shouldn't use 'God's name in vain' - Chron,"During a Texas legislative finance committee hearing, State Sen. Donna Campbell expressed her belief that profanity should not be used in films made in Texas.",Chron.com,music
Travis Kelce adorably meets Jason and Kylie’s newborn daughter Finnley on ‘New Heights’ podcast - Page Six,"Jason and Kylie introduced their fourth baby girl to their Instagram followers Tuesday evening, writing, “Whoop, there she is! 3/30/25.”",Page Six,gaming
"Microsoft is a clear winner from ChatGPT's super-viral Ghibli images, analysts say - Business Insider",Microsoft is a major investor in the artificial intelligence firm and its primary cloud provider.,Business Insider,gaming
Round Up: The First Impressions Of The Minecraft Movie Are In - Nintendo Life,"""An AWFUL.. lot of fun!""",Nintendo Life,gaming
Ariana DeBose Says She Didn’t Do the Thing - Vulture,"Ariana DeBose has suggested that she wasn’t being shady and knowingly quoting criticism of her former co-star Rachel Zegler. ‘I have no intention of inserting myself into a news cycle,’ DeBose wrote.",Vulture,gaming
Title Change On WWE NXT - WrestleTalk,The main event of tonight's April 1 episode of WWE NXT at the Performance Center played host to the brand's latest title change.,Wrestletalk.com,gaming
David Fincher to Direct Brad Pitt in ‘Once Upon a Time in Hollywood’ Netflix Follow-Up From a Tarantino Script - Variety,"David Fincher is circling a 'Once Upon a Time in Hollywood' sequel, written by Quentin Tarantino. Brad Pitt will return for the follow-up.",Variety,gaming
Stephanie Vaquer relinquishes North American title; ladder match to determine new champion - Cageside Seats,This is certainly one way to do this.,Cageside Seats,gaming
'Malcolm in the Middle' Erik Per Sullivan Spotted for First Time in 18 Years - TMZ,"Erik Per Sullivan used to be on TV all the time as a star on the hit 2000s sitcom ""Malcolm In The Middle"" ... but he vanished from Hollywood for nearly two decades, and now he's finally been spotted in his new life.",TMZ,gaming
What Exactly Is Happening With Sydney Sweeney and Glen Powell? I’ll Start With the Bad News. - Slate,Can America survive a single Sydney Sweeney?,Slate Magazine,gaming
Meghan Markle Just Posted a Video Dancing in Her Kitchen—and Shared the Official Jam Launch Date - PureWow,"Hear ye, hear ye: Meghan Markle just made her As Ever jam launch date official with an IG post of her dancing in the kitchen.",PureWow,gaming
Gene and Betsy Hackman’s Estate Wins Partial Victory in Footage and Death Records Court Ruling - The Hollywood Reporter,A mixed ruling handed down on Monday afternoon stipulates that images of the very private couple’s partially decomposing bodies will not be released.,Hollywood Reporter,gaming
‘The White Lotus’ Season 3 Finale Boasts Runtime Of 90 Minutes - Deadline,'The White Lotus' Season 3 finale will be the longest episode in the series at nearly 90 minutes to conclude the Thailand storyline.,Deadline,gaming
"‘NYPD Blue’ actress Kim Delaney will not face assault charges, DA says - KTLA","Kim Delaney will not face assault charges related to her arrest in connection with felony assault, the Los Angeles County District Attorney’s Office announced Tuesday. Delaney, who starred in TV series “NYPD Blue,” “Army Wives” and “The O.C.,” was arrested Sa…",KTLA Los Angeles,gaming
‘Adolescence’ Dethrones ‘Stranger Things 3’ and ‘Bridgerton 2’ on Netflix’s All Time Most Popular TV List With 96.7 Million Views - Variety,'Adolescence' joined Netflix's list of its most popular English-language TV series of all time at No. 9 with 96.7 million views thus far.,Variety,gaming
The Films and Shows You Should Be Streaming in April 2025 - Gizmodo,"We've picked out the best horror, sci-fi, and genre titles coming to Netflix, Hulu, Prime Video, Disney+, and beyond, including Andor, How to Train Your Dragon, and Terminator",Gizmodo.com,gaming
Daniel LaRusso returns to the East Coast in Karate Kid: Legends trailer - AV Club,Daniel LaRusso returns to the East Coast in Karate Kid: Legends trailer,The A.V. Club,gaming
Reign Disick Reacted To That Wild Conspiracy Theory That Justin Bieber Is His Real Dad - buzzfeed.com,"Though it’s hard to believe today, there was a time when Kourtney and Justin were rumored to be “hooking up.”",Buzzfeed,gaming
Prince Harry charity insiders reveal cash worries at Sentebale - BBC,"Financial worries and fundraising rows inflamed boardroom battle that engulfed Sentebale, insiders claim.",BBC News,gaming
Kieran Culkin and Bob Odenkirk seal the deal in star-studded Broadway revival of Glengarry Glen Ross - Entertainment Weekly,Kieran Culkin and Bob Odenkirk seal the deal in the star-studded Broadway revival of 'Glengarry Glen Ross.' Read Entertainment Weekly's review.,Entertainment Weekly,gaming
Texas lawmaker: Movies made here shouldn't use 'God's name in vain' - Chron,"During a Texas legislative finance committee hearing, State Sen. Donna Campbell expressed her belief that profanity should not be used in films made in Texas.",Chron.com,gaming
Liev Schreiber recalls moment trans daughter Kai asked him to use she/her pronouns - Page Six,"“Kai was always who Kai is,” the actor, 57, said in a new interview.",Page Six,gaming
"Reba McEntire set to host 2025 ACM Awards tonight; performances by Rascal Flatts, Jelly Roll - Fox News","Reba McEntire hosts the 60th annual Academy of Country Music awards from the Ford Center at The Star in Frisco, Texas. Ella Langley is the most nominated artist of the night with eight nods, followed by Morgan Wallen, Lainey Wilson and Cody Johnson with seven…",Fox News,gaming
‘When Calls the Heart’ star Nathaniel ‘Nate’ Pelletier dies ‘suddenly’ at 53 - New York Post,The late actor had a recurring role in the beloved Hallmark series as a taxi driver.,New York Post,gaming
"With Jury Nearly Finalized, Sean “Diddy” Combs’ Prosecutors Say They May Have Lost Key Witness - The Hollywood Reporter",The 45 men and women who made it through the first stage of selection for the federal case's jury will be narrowed to 12 jurors and six alternates on Friday.,Hollywood Reporter,gaming
'X-Men' Movie At Marvel Studios Circling 'Thunderbolts*' Director Jake Schreier To Assemble New Team: The Dish - Deadline,'Thunderbolts*' director Jake Schreier is in talks to helm Marvel Studios' New 'X-Men' Movie.,Deadline,gaming
"Blake Lively will testify in Justin Baldoni trial, lawyer reveals in first interview - New York Post",“Of course she’s going to testify.”,New York Post,gaming
"James Foley, Director of ‘Glengarry Glen Ross,’ ‘House of Cards’ and ‘Fifty Shades,’ Dies at 71 - The Hollywood Reporter","He also helmed 'At Close Range,' 'After Dark, My Sweet,' 'Two Bits' and lots of Madonna music videos before succumbing to brain cancer.",Hollywood Reporter,gaming
‘Jerry Maguire’ and ‘Stuart Little’ Child Star Jonathan Lipnicki Says ‘I’m Not Where I Want to Be Career-Wise’ as an Adult: ‘I Want to Turn This Ship Around’ - Variety,"'Jerry Maguire' and 'Stuart Little' child actor Jonathan Lipnicki says his career is struggling as an adult, but he wants to turn the ship around.",Variety,gaming
Leo Made a Sneaky Met Gala Debut With Vittoria Ceretti - The Cut,"Academy Award winner Leonardo DiCaprio made a sneaky little Met Gala debut alongside his 26-year-old girlfriend, Vittoria Ceretti.",The Cut,gaming
"Engulfed In Pain, Steffy and Hope Cling to Each Other — and Luna Visits Finn - Soaps.com","In today's Bold & Beautiful recap, Luna visits Finn, Hope and Steffy cling to one another, and Liam reaches out to Bill.",SheKnows,gaming
Ex-model tearfully tells jury that Harvey Weinstein sexually assaulted her when she was 16 - AP News,"A former model has testified that Harvey Weinstein sexually assaulted her when she was 16 years old, calling it the most “horrifying thing I ever experienced” to that point. Kaja Sokola told jurors at Weinstein’s #MeToo retrial on Thursday that the onetime mo…",Associated Press,gaming
"Vogue Readers’ Favorite 2025 Met Gala Looks Include Diljit Dosanjh, S.Coups, and Zendaya - Vogue",See who Vogue readers deemed the 10 best dressed 2025 Met Gala attendees of the night.,Vogue,gaming
Kylie Jenner & Timothee Chalamet Grab Dinner After Making Their Red Carpet Debut as a Couple - Just Jared,See the new pics!,Just Jared,gaming
Charlize Theron and Team of Immortals Face New Threat in Netflix’s ‘The Old Guard 2’ Trailer - The Hollywood Reporter,Uma Thurman and Henry Golding also star in Victoria Mahoney's sequel that launches this summer.,Hollywood Reporter,gaming
Pierce Brosnan’s time with Robin Williams filming ‘Mrs. Doubtfire’ was wilder than we knew - CNN,"Pierce Brosnan only ever appeared with Robin Williams in one film, but the Irish actor now says he didn’t quite work with Williams.",CNN,gaming
"Judy Blume wrote honestly about teen sex. At 50, ‘Forever’ endures. - The Washington Post","“Forever,” Judy Blume’s groundbreaking novel about teen sex and first love, is getting a modern retelling on Netflix.",The Washington Post,gaming
"Mirroring the MCU, Marvel Comics' Thunderbolts* Series Becomes The New Avengers - IGN","With Marvel Comics following the example of the MCU and turning the Thunderbolts into the New Avengers, we chatted with writer Sam Humphries to learn more about ""Earth's Deadliest Heroes.""",IGN,gaming
'Andor' creator reveals scrapped K-2SO 'horror movie' episode - Entertainment Weekly,'Andor' creator Tony Gilroy reveals scrapped K-2SO 'horror movie' episode and explains why the initial origin story ultimately did not happen.,Entertainment Weekly,gaming
‘Materialists’ New Trailer: Dakota Johnson Has to Choose Between a Perfect Pedro Pascal and an Unconventional Chris Evans - IndieWire,"Dakota Johnson, Pedro Pascal, and Chris Evans star in Celine Song's 'Materialists.'",IndieWire,gaming
Man charged with stalking Jennifer Aniston after 'crashing into actor's home' - BBC,Jimmy Wayne Carwyle has been charged with stalking and vandalism after the incident at the actor's Hollywood home.,BBC News,gaming
The Who Announce North American ‘Farewell’ Tour - Variety,The Who have announced dates for what they say is their 'farewell' North American tour.,Variety,gaming
Smokey Robinson’s lawyer says rape allegations against him are ‘vile’ and ‘false’ - AP News,Smokey Robinson’s lawyer says allegations of rape and sexual assault against him in a lawsuit from four former housekeepers are “vile” and “false.” Attorney Christopher Frost said in a statement Wednesday that the evidence “will show that this is simply an ug…,Associated Press,gaming
'That's So Raven' Star Makes Breathless Plea for Help In Video - HuffPost,"""I thought I was on the road to recovery,"" the actor said.",HuffPost,gaming
Former WWE Stars To Return At Backlash 2025 - WrestleTalk,Here are six former WWE stars who could return to the company at the upcoming Backlash 2025 premium live event.,Wrestletalk.com,gaming
Brad Arnold: 3 Doors Down singer reveals stage four kidney cancer - BBC,"Brad Arnold says he believes one of the rock band's hits, It's Not My Time, is now ""really my song"".",BBC News,gaming
Times Square touts new statue of 12-foot-tall Black woman as 'stark contrast' to statues of White men - Fox News,"Times Square Arts installed a new statue of a 12-foot-tall Black woman in casual clothing, juxtaposing it against the permanent monuments of a chaplain and playwright.",Fox News,gaming
Poker Face Season-Premiere Recap: Imposter Syndrome - Vulture,Cynthia Erivo’s multiple performances are a reminder of what makes Peacock’s unlikely hit so successful.,Vulture,gaming
"‘The Masked Singer’ Finale Reveals Identities of Pearl, Boogie Woogie, Coral and Mad Scientist Monster: Here’s Who Won Season 13 - Variety","On ""The Masked Singer"" Season 13 finale, the Pearl, Boogie Woogie, Coral and Mad Scientist Monster costumes were unmasked and the winner revealed.",Variety,gaming
9 surprising facts about David Attenborough on his 99th birthday - Live Science,"British naturalist David Attenborough celebrates his 99th birthday on May 8, 2025. Here are some incredible facts about the iconic broadcaster.",Live Science,gaming
"Actor Michael Pitt, known for ""Boardwalk Empire"" and ""Dawson's Creek,"" arrested on sex abuse charges - CBS News",Actor Michael Pitt was arrested Friday at his home in Brooklyn on nine state counts. His lawyers deny the allegations.,CBS News,gaming
"'Bachelor' Star Clayton Echard Used In Fake Pregnancy Scam By Arizona Woman, Officials Say - TODAY.com","A woman faked a pregnancy, claiming ""Bachelor"" star Clayton Echard was the father, officials say.",TODAY,gaming
‘Andor’ Star Kyle Soller on Syril’s Pause and How the Star Wars Series Has “Transformed This Universe Into Art” - The Hollywood Reporter,"The actor digs into the complicated nature of his character, and why he doesn't think Syril could press the big button on the Death Star.",Hollywood Reporter,gaming
Disney is bringing its next theme park to Abu Dhabi. Check out its parks across the world - qz.com,"The entertainment giant announced plans for its seventh global park — for which, this time, it won't be footing the bill",Quartz India,gaming
King Charles Has “No Reason to Reach Out Now” to Prince Harry After Explosive BBC Interview - instyle.com,"Following Prince Harry's bombshell BBC interview on May 2, royal commentators say that reconciliation between the Duke of Sussex and his father King Charles seems father away than ever.",InStyle,gaming
